No.,問題文
041,"あるスポーツドリンクのメーカーでは、従来品の体内水分補給速度の平均値が{mean}分とされています。新しい成分を加えた改良型ドリンクにより、この速度が向上している可能性があります。改良型ドリンクを試した{size}名のアスリートの水分補給速度を計測した結果、以下のデータを得ました：{data}分。体内への水分補給速度は正規分布すると仮定できます。これらのデータを使用して、改良型ドリンクの体内水分補給速度が{mean}分よりも速くなっているかどうかを、有意水準{alpha}で検定してください。
042,"新しいコース向けのテキストブックの平均読了時間は、過去のデータによれば{mean}時間とされています。今回、改訂されたテキストブックが学生にとって使いやすくなったとのフィードバックを受け、読了時間に変化があるかどうかを分析する必要が生じました。そのため、無作為に選ばれた{size}人の学生を対象に新しいテキストブックの読了時間を測定し、以下のデータが得られました：{data}時間。読了時間は正規分布に従うと考えられます。学生のテキストブック読了時間の平均が{mean}時間を超えて短縮されたかを、有意水準{alpha}で検証してください。
043,"新しい種類のエネルギードリンクが市場に投入されました。過去の市場調査によると、同様の製品の1缶あたりの平均カフェイン含有量は{mean}mgでしたが、この新タイプのドリンクではさらに高いカフェイン含有量を宣伝しています。品質管理チームは無作為に選んだ{size}缶のドリンクのカフェイン含有量を分析し、以下の結果を得ました：{data}mg。含有量は正規分布すると考えられています。商品が宣伝されているように、カフェイン含有量が既存の平均値{mean}mgを実際に超えているかを有意水準{alpha}で検定してください。
044,"ある工場では、製品の平均寿命が{mean}年であるという仮定のもとで生産を行ってきました。しかし、新しい製造技術の導入によって製品の品質が向上した可能性があり、平均寿命がそれを超えるかもしれないと考えられています。新しい技術で製造した{size}個の製品に関する寿命データが次のように得られました：{data}年。寿命データが正規分布に従うと仮定した上で、新技術により製品の平均寿命が{mean}年を超えたかどうかを有意水準{alpha}で検定してください。
045,"ある食品メーカーが開発した新しい栄養ドリンクのエネルギー値についての調査を行います。過去の製品の平均エネルギー値は{mean}kcalとされています。今回の新製品は従来の製品に比べてより多くのエネルギーを含んでいる可能性があります。そこで、この新製品からランダムに抽出した{size}本のドリンクのエネルギー値を調査し、次のデータを得ました：{data}kcal。エネルギー値は正規分布すると仮定されます。新製品の平均エネルギー値が{mean}kcalを超えているかを有意水準{alpha}で検定してください。
046,"あるスポーツドリンクのパフォーマンス向上効果について調査を行います。過去の実験では、特定の運動後の平均体力回復時間が{mean}分とされていました。現在、製品の改良がなされた可能によって体力回復時間がさらに短縮されていると考えられています。この効果を確かめるため、改良後のスポーツドリンクを摂取した{size}人のアスリートの体力回復時間の平均値を測定し、以下のデータを得ました：{data}分。体力回復時間は正規分布に従うと仮定できます。製品改良によって平均体力回復時間が{mean}分よりも短縮されたかどうかを、有意水準{alpha}で検定してください。
047,"新製品のアイスクリームの評定点数に関する調査が行われています。過去の似た製品での平均評定点数は{mean}点でした。マーケティング部門は新しい味の開発を進め、その改善が消費者に好まれるかどうかを確認するために規模の小さい市場調査を実施しました。選択された{size}人の消費者に新たな味を評価してもらったところ、以下の評定点数を得ました：{data}点。評定点数は正規分布に従うとします。新製品の平均評定点数が以前の製品よりも好まれているかどうかを、有意水準{alpha}で検証してください。
048,"新製品のバッテリー寿命に関する実験を実施しています。これまでの市場に出ている同様の製品のバッテリー寿命の母平均は{mean}時間とされており、新製品のバッテリーはこれを上回ることが期待されています。そこで、{size}個の新製品のバッテリーを抽出し、寿命をテストした結果次のデータを得ました：{data}時間。バッテリー寿命は正規分布に従うと仮定しています。これを用いて、新製品のバッテリー寿命が従来の製品の{mean}時間を上回っているか否かを、有意水準{alpha}で検定してください。
049,"あるスポーツドリンクメーカーは、新しい製品の平均エネルギー含有量が既存の製品の平均{mean}kcal/500mlを上回ると考えられています。この新製品のエネルギー含有量は正規分布に従っていると仮定できます。独立した{size}本のドリンクからランダムにサンプルを採取し、エネルギー含有量を検査した結果、以下のデータを得ました：{data}kcal/500ml。この結果をもとにして、有意水準{alpha}で新製品の平均エネルギー含有量が{mean}kcal/500mlを超えたかどうかを検定してください。
050,"ある健康食品の効能として、体脂肪率の平均値を{mean}%まで下げると謳われていました。最近になって新しい成分が加えられたため、体脂肪率をさらに低くすることができるのではないかと考えられています。この効能を検証するために{size}人の成人を対象に体脂肪率を計測し、以下の結果を得ました：{data}%。体脂肪率は正規分布に従うとされています。新しい成分の添加が体脂肪率を{mean}%未満にする効果があるかどうかを、有意水準{alpha}で検定してください。
051,"新発売されたダイエットサプリメントの広告では、定期的にサプリメントを摂取することで体脂肪率が平均{mean}%減少すると主張しています。この主張の有効性を検証するために、ランダムに選ばれた{size}人の被験者にサプリメントを4週間摂取してもらい、体脂肪率の変化を測定したところ、次のデータが得られました：{data}%。体脂肪率の変化は正規分布に従うと考えられています。主張されたよりも体脂肪率が有意に減少するかどうかを、有意水準{alpha}で検定してください。
052,"新型の柔軟剤が消費者市場に投入される前に、その香りの持続時間の平均が従来品の{mean}時間よりも長いことを示すための試験が行われました。品質管理部門は{size}個のサンプルを無作為に選択し、それぞれの持続時間を測定した結果、以下のデータを得ました：{data}時間。持続時間は正規分布すると仮定しています。この結果をもとにして、新型の柔軟剤の香りの持続時間が{mean}時間を超えていることを有意水準{alpha}で検定してください。
053,"ある自動車メーカーは新型エンジンの燃費改善を目指しており、旧型エンジンの平均燃費は公道走行テストで{mean}km/Lとされています。新型エンジンに関して、同じ条件下で{size}台の車両をテストし、次のデータを得ました：{data}km/L。燃費の分布は正規分布に従うと考えられます。この新型エンジンの平均燃費が旧型エンジンのそれを上回っているかどうかを、有意水準{alpha}で検定してください。
054,"ある新製品のバッテリー寿命が、従来の製品のバッテリー寿命{mean}時間を上回るかどうかを検証するためにテストが実施されました。テストに参加した{size}台の製品から得られたデータは以下の通りです：{data}時間。バッテリー寿命は正規分布に従っていると仮定できます。このデータをもとに、バッテリーの平均寿命が{mean}時間よりも長いかどうかを有意水準{alpha}で検定してください。
055,"新しく販売されたスポーツドリンクの平均カフェイン含有量が、業界標準の{mean}mgを超えているかどうかを調査することになりました。ランダムに選んだ{size}個のサンプルを分析した結果、以下のカフェイン含有量が得られました：{data}mg。カフェイン含有量は正規分布に従うと考えられています。これらのサンプルデータを用いて、スポーツドリンクの平均カフェイン含有量が業界標準の{mean}mgを上回るかを有意水準{alpha}で検定してください。
056,"ある工場で製造される電子部品の寿命の平均は{mean}時間とされています。しかし、新しい製造プロセスの導入により、部品の寿命が延びている可能性があります。確かめるために、新しいプロセスで製造された{size}個の部品を無作為に選び、それぞれの寿命を測定し、次のデータを得ました：{data}時間。寿命の分布が正規分布していると仮定し、有意水準{alpha}で新しいプロセスによる部品の寿命が伸びているかを検証してください。
057,"統計学の教師として、以下に示す1標本t検定の問題文の初案を作成しました：ある製菓企業が新しい口溶けの良いチョコレートを開発し、包装された製品の平均重量は{mean}gであるとされています。この新しいチョコレートが市場に出る前に、品質管理の一環として{size}個の製品から無作為に抽出し、重量を測定するテストが行われました。その結果、以下のデータが得られました：{data}(g)。製品重量が正規分布に従うという前提のもと、有意水準{alpha}で新製品の平均重量が{mean}gを超えていないかを検証してください。
058,"大学生の平均睡眠時間に関する調査で、従来の研究結果では学生の平均着床時間は{mean}時間とされていますが、近年のスマートデバイスの利用増加と共に睡眠時間の減少が懸念されています。そこで、昨年1年間に大学生{size}人に対してランダムに調査を行い、各個人の1日あたりの平均睡眠時間データ{data}時間を集めました。睡眠時間のデータは正規分布に従うと仮定されます。大学生の1日の平均睡眠時間が{mean}時間未満であるかどうかを有意水準{alpha}において検定してください。
059,"ランダムに選んだ{size}個の電球の寿命について調査を行ったところ、以下のデータが得られました：{data}時間。電球の寿命は正規分布に従うとされています。製造メーカーはこれまでの電球の平均寿命が{mean}時間であるとしていますが、新しい材料を用いた電球が市場に登場したことにより、平均寿命が伸びた可能性が考えられます。得られたデータを使用して、電球の平均寿命が{mean}時間よりも長くなったかを有意水準{alpha}で検定してください。
060,"母平均{mean}µgのビタミン配合サプリメントが市場に出ています。近年、製造工程の改善により、サプリメントに含まれるビタミンの量が従来よりも増加したとの報告があります。この主張を検証するために、無作為に選ばれた{size}個のサプリメントからビタミンの重量を測定し、次のデータを得ました：{data}µg。ビタミンの重量は正規分布に従うと考えられます。有意水準{alpha}で、サプリメントのビタミン含量が{mean}µgよりも有意に増加しているかを検定してください。
061,"新発売されたエネルギードリンクのカフェイン含有量が、表示値の{mean}mgを実際に上回っているかどうかを確かめるための検査を行っています。品質保証部門では正規分布に従うとされるエネルギードリンクから無作為に{size}本選び、各本のカフェイン含有量を分析した結果、以下の毎分データを得ました：{data}mg。得られたデータを使用し、有意水準{alpha}で製品のカフェイン含有量が表記値{mean}mgを超えているかどうかを検定してください。
062,"あるキャリアアップ講座では、学生の満足度評価の平均が{mean}とされています。最新のプログラム改善によって満足度が向上したと期待されているため、ランダムに選んだ{size}名の受講生を調査し、以下のデータを得ました：{data}。満足度評価は正規分布すると仮定されます。これらのデータを用いて、受講生の満足度が以前の{mean}よりも向上していることを有意水準{alpha}で検定してください。
063,"生産された電球の寿命が工場のクオリティコントロールで{mean}時間とされています。改善された製造プロセスにより、電球の寿命が延びている可能性があります。そのため、{size}個の電球を無作為に選んでテストしたところ、以下の寿命データを得ました：{data}時間。電球の寿命は正規分布に従うと考えられます。これらのデータに基づき、電球の寿命が工場での規定値{mean}時間を超えているかどうかを、有意水準{alpha}で検定してください。
064,"新型エンジンの平均燃費が工場の公称値である{mean}km/Lを超えているかどうかを検証することになりました。エンジンのテスト走行を実施し、ランダムに選ばれた{size}回のテストから得られた燃費データは{data}km/Lです。エンジンの燃費は正規分布すると推定されます。このエンジンが公称燃費値を上回っているかを、有意水準{alpha}で判断してください。
065,"ある教育プログラムを受けた学生の数学能力の向上が疑われています。過去のデータに基づくと、このプログラムの受講前の学生の数学テスト平均得点は{mean}点であることが分かっています。新たに{size}人の学生がこのプログラムを受講し、終了後に実施されたテストの結果は以下の通りです：{data}点。得点は正規分布にしたがうと考えられます。受講後の得点が潜在的に向上しているか否か、有意水準{alpha}の基準で確認する必要があります。プログラム受講前の平均得点{mean}点から向上したかを検定してください。
066,"ある工場の製品の平均重量は品質管理上、{mean}kgと定められています。最近の製造ラインの改善に伴い、製品の重量に変化があるのではないかという仮説を立てました。その検証のために、無作為に選んだ{size}個の製品の重量を測定し、下記のデータを得ました：{data}kg。製品の重量は正規分布すると仮定されています。有意水準{alpha}で、製品の平均重量が{mean}kgを超えることについて検定してください。
