No.,問題文
021,"ある工場にて生産される部品の厚みの規格値は{mean}mmとされていますが近年の機械の老朽化が進んでいるため、部品の厚みがこの規格値を下回らないか定期的に確認する必要があります。このため工場ではランダムに選んだ{size}個の部品の厚みを測定し、次のデータが得られました：{data}(mm)。部品の厚みは正規分布に従うと仮定されます。有意水準{alpha}で部品の平均厚みが規格値{mean}mmを下回っているかを検定してください。
022,"ある飲料のカフェイン含有量が製品規定の{mean}mgに満たないという顧客からの指摘がありました。品質管理部門はこれを受けて、製造ラインから無作為に選択された{size}本の製品をピックアップし、カフェイン含有量を分析したところ、次のデータを得ました：{data}mg。このデータは正規分布に従うものとして、カフェイン含有量が製品規定の{mean}mgを下回っているかどうかを有意水準{alpha}で検証してください。
023,"新型バッテリーの寿命が製造業者が主張する{mean}時間以上あるかどうかを検証するためにテストが行われました。バッテリー寿命は正規分布に従うと考えられており、{size}個のバッテリーを無作為に選んで寿命テストをしたところ次の結果が得られました：{data}時間。有意水準{alpha}でこのバッテリーの平均寿命が製造業者の主張する{mean}時間未満であるかどうかを検定してください。
024,"ある農場で栽培されるトマトの平均重量は{mean}kgとされていますが、最新の農法の変更により重量がその水準を下回った疑念が持たれています。このため、無作為に選ばれた{size}個のトマトの重量を調査し、次のデータを得ました：{data}(kg)。トマトの重量は正規分布に従うと仮定されています。得られたデータを用いて、トマトの平均重量が{mean}kgよりも減少していることを有意水準{alpha}で検定してください。
025,"質の管理を行っているある工場では、ある部品の重量が{mean}gとされています。しかし、最近の工程変更により、部品の重量が規定値を下回っているという懸念が持ち上がっています。部品重量は正規分布に従うと仮定されるため、こうした懸念を統計的に検証するため、{size}個の部品の重量を測定し、以下のデータが得られました：{data}(g)。これらのデータを用いて、部品の平均重量が{mean}gよりも少ないことを示す事実がないかを有意水準{alpha}で検定してください。
026,"新型エンジンの燃費向上効果について調査しています。先行研究によると、伝統的なエンジン設計の平均燃費は{mean}km/Lと報告されています。研究チームは新型エンジンを{size}台の車両に搭載し、それぞれの燃費を計測しました。その結果、以下のデータが得られました：{data}km/L。燃費は正規分布をすると想定されます。もし新型エンジンの平均燃費が{mean}km/Lを下回るならば、期待する燃費の向上は得られなかったとする必要があります。そこで、得られたデータをもとに有意水準{alpha}で新型エンジンの平均燃費が{mean}km/Lに対して改善されていないかを検定してください。
027,"あるフィットネスクラブでは新しいトレーニングプログラムを導入した後、会員の体脂肪率が以前の{mean}%から下がったかどうかを調査することにしました。体脂肪率は正規分布にしたがっていると仮定できます。新しいプログラム導入後の会員{size}人をランダムに選び、体脂肪率を測定した結果、以下のデータが得られました：{data}%。トレーニングプログラムが効果的で体脂肪率が減少したかどうかを有意水準{alpha}で検定してください。
028,"新しいロットのボールペンは、製造過程が改善されたため、インクが切れるまでの平均使用時間が長くなっているかもしれません。過去のロットでは平均使用時間は{mean}時間とされています。品質管理の一環として、新しいロットから無作為に選ばれた{size}本のボールペンについてテストを行い、以下のデータを得ました: {data}時間。ボールペンの使用時間は正規分布すると仮定されています。これらのデータを用いて、新しいロットのボールペンの平均使用時間が{mean}時間を下回っている可能性について、有意水準{alpha}で検定してください。
029,"新しい工法によるレンガの強度に関する研究を行っています。従来の工法で作られたレンガの平均強度は{mean}MPaとされています。新しい工法で作られた{size}個のレンガの強度を測定し、次のデータを得ました：{data}MPa。レンガの強度は正規分布すると仮定されます。新しい工法によってレンガの平均強度が従来の工法に比べて低下しているかどうかを有意水準{alpha}で検定してください。
030,"ある飲料の糖分含有量に関する調査を行います。以前の研究によれば、この飲料の糖分の平均含有量は{mean}gであるとされていますが、最近の改良により糖分の含有量が減少したと推定されています。品質管理の一環として、無作為に選んだ{size}本の飲料から糖分含有量を分析したところ、以下のデータを得ました：{data}(g)。糖分含有量は正規分布すると考えられます。有意水準{alpha}で、飲料の糖分平均含有量が{mean}g未満になっているかを検定してください。
031,"ある食料品の容量が規定の{mean}リットルを下回っていないかを品質管理のために検証しています。市場からランダムに選ばれた{size}個の製品の容量について調査した結果、次のデータが得られました：{data}リットル。製品の容量は正規分布に従っていると仮定されます。これらのデータを用いて、製品の容量が{mean}リットルよりも少なくなっているかどうかを有意水準{alpha}で検定してください。
032,"ある食品工場では、新しい製造プロセスが導入された後、ある製品の平均塩分濃度が食品安全基準の{mean}%を下回っているかどうかを検証することにしました。製品の塩分濃度は正規分布すると考えられています。新しいプロセスで製造された製品から無作為に選んだ{size}個のサンプルを分析した結果、以下の塩分濃度が得られました：{data}%。これらのデータを用いて、製品の平均塩分濃度が基準値の{mean}%未満であるかを有意水準{alpha}で検定してください。
033,"ある製造工場で作られる電子部品の寿命が平均{mean}年であると報告されています。電子部品の寿命は正規分布に従うと仮定されています。新しい製造プロセスを導入した後の電子部品{size}個を無作為にサンプリングし、寿命を測定した結果は以下の通りです：{data}年。寿命が従前の{mean}年よりも短縮されていないかを有意水準{alpha}で検定してください。
034,"新しいアイスクリームの味に対して市場調査分析を実施中です。過去の類似商品の平均満足度は{mean}点とされていますが、低コストの原材料を使用したことから、今回の新商品は顧客満足度がこれより低いのではないかという懸念があります。そこで{size}人の消費者を対象にしたテイストテストを行い、以下の満足度スコアを得ました：{data}点。満足度スコアは正規分布すると考えられています。これらの結果をもとに顧客満足度が以前の平均{mean}点を下回っているかどうかを有意水準{alpha}で検定してください。
035,"ある製品の平均寿命は、工場側の仕様では{mean}年とされています。最近の品質検査で、ランダムに選ばれた{size}個の製品の寿命を検査したところ、以下のデータを得ました：{data}年。製品の寿命は正規分布に従うと仮定されます。品質基準を満たしているかどうか、有意水準{alpha}で平均寿命が{mean}年より短くなっていないかを検定してください。
036,"新製品のバッテリー持続時間に関する懸念があり、過去のモデルの平均的な持続時間は{mean}時間と仮定されています。品質管理チームは、新製品のバッテリー持続時間が過去のモデルの持続時間を維持しているか、あるいはそれを下回っているかを知りたいと考えています。新製品から無作為に抽出した{size}個のバッテリーの持続時間をテストした結果、次のデータが得られました：{data}時間。バッテリーの持続時間は正規分布であると仮定して、有意水準{alpha}で新製品のバッテリーの平均持続時間が{mean}時間以下であるかを検定してください。
037,"新製品の寿命が従来品の寿命よりも短い可能性が懸念されています。以前の製品の平均寿命は{mean}年でした。最新の製品から無作為に{size}個を選び、寿命をテストした結果、次のデータが得られました：{data}年。製品の寿命は正規分布すると仮定します。新製品の平均寿命が{mean}年よりも短いという主張が、有意水準{alpha}で正しいかを検定してください。
038,"新しいコンパクトカーの燃費は公称値である{mean}km/Lを下回ってはならないとされています。あなたは品質管理部門の担当者として、ランダムに選んだ{size}台の車から得られた以下の燃費データ{data}(km/L)を検討しています。燃費のデータは正規分布を仮定できます。新しいコンパクトカーが公称燃費値を下回っていないことを有意水準{alpha}で確認するために検定を行ってください。
039,"ある工場では、製品の平均重量が{mean}kgであることを品質基準として設定しています。しかし、製造プロセスに変更があったため、製品の平均重量が規格を下回っていないかを確認する必要が生じました。製造ラインからランダムに選んだ{size}個の製品の重量を測定し、次のデータを得ました：{data}(kg)。製品の重量は正規分布すると仮定できます。品質保証の観点から、製品の平均重量が{mean}kgよりも低いかを確認するために、有意水準{alpha}で検定を行ってください。
040,"食品の品質管理を目指すある工場では、クッキーの塩分濃度が望ましいレベルである{mean}%を維持することが重要です。ある日の生産分からランダムに{size}個のクッキーを抽出し、その塩分濃度を測定した結果以下のデータが得られました：{data}%。塩分濃度は正規分布に従うとされています。これらのデータを用いて、工場で生産されたクッキーの塩分濃度が基準値{mean}%を下回っているという仮定が正しいかどうか、有意水準{alpha}で検定してください。
041,"「ある農薬メーカーが開発した新しい農薬の影響を調べるため、対象作物の生育速度を計測しています。新しい農薬が適切な生育を促すためには、作物の平均生育日数は{mean}日以上でなければなりません。開発された農薬を使用した後、ランダムに選ばれた{size}株の作物から得られた生育日数のデータは以下のとおりです：{data}日。生育日数は正規分布に従うと考えられます。作物の平均生育日数が{mean}日未満であるという主張を、有意水準{alpha}で検定してください。」
042,"「ある工場で製造されるスチールボールの平均直径が規格値である{mean}mmを維持していることが重要です。新たな機械による製造プロセスが導入された後、品質保証部門は規格値を維持しているかどうか確認するために{size}個のボールの直径を測定しました。測定結果は以下の通りです：{data}mm。スチールボールの直径は正規分布すると想定されています。有意水準{alpha}で平均直径が{mean}mmよりも小さくなっていないかを検定してください。」
043,"あなたは品質管理の担当者であり、ある加工食品の平均塩分量が{mean}gを超えないことが社内の品質基準として設けられています。最近の生産ロットから無作為に選んだ{size}個の加工食品の塩分を計測した結果、以下のデータを得ました：{data}(g)。加工食品の塩分量は正規分布に従うと仮定されています。品質基準に沿って管理されていることを確認するため、加工食品の平均塩分量が{mean}gを超えていないかどうかを、有意水準{alpha}で検定してください。
044,"本学の栄養学部では、学食のカロリー摂取量に関する平均値が{mean}キロカロリーであるとされています。最近、学生の健康意識の高まりを受け、提供される食事のカロリーが以前より低下しているとの懸念があります。この仮説を検証するため、無作為に選ばれた{size}名の学生の1日のカロリー摂取量を記録し、以下のデータが得られました：{data}キロカロリー。カロリー摂取量は正規分布に従うものと想定しています。有意水準{alpha}で、学生の平均カロリー摂取量が{mean}キロカロリーを下回っているかどうかを検定してください。
045,"ある食品の栄養成分が、表示されている平均値である{mean}mgを下回っていないか、消費者保護団体が調査を開始しました。市場からランダムに選ばれた{size}個の商品の栄養成分を分析したところ、以下の数値を得ました：{data}(mg)。栄養成分の分析結果は正規分布すると考えられます。有意水準{alpha}で、この食品の栄養成分が表示値の{mean}mgを下回るとの主張を検証してください。
046,"ある工場で製造されるスチール製のボルトの重量検査を行っています。品質規格では、これらのボルトの母平均重量は{mean}gとされており、品質管理部門は新しい製造ラインが規格を満たしているか検証することを目的としています。この新しいラインからランダムに抽出した{size}個のボルトの重量を計測したところ、以下のデータが得られました：{data}(g)。ボルトの重量は正規分布に従うと仮定できます。新しい製造ラインが生産するボルトの平均重量が規格値{mean}gよりも軽くなっていないかを、有意水準{alpha}で検定してください。
047,"新しい食品添加物の安全性評価において、添加物がある生理活性を指標とした際の平均影響度は{mean}とされています。この添加物を使用した製品の影響度を確認するために、{size}個のサンプルに対して生理活性試験を行い、以下のデータを得ました：{data}。影響度の分布は正規母集団からのサンプルとして扱えるため、正規分布に従うと考えられます。有意水準{alpha}で、この添加物が平均影響度{mean}未満であることを示し、安全性が確保されていると言えるかどうかを検定してください。
048,"新しいゴルフボールの製造工程において、ボールの平均飛距離が以前の{mean}ヤードを下回っていないかを確認するためのテストを行っています。ゴルフボールの飛距離は正規分布に従うと考えれます。新しい工程で製造されたボールを使用して{size}回の打ち出しテストを行った結果、次の飛距離データが得られました：{data}ヤード。新しい製造工程によってボールの平均飛距離が{mean}ヤードを下回ることはないという品質基準を守れているかどうかを有意水準{alpha}で検定してください。
049,"ある工場で製造されるチョコレートバーの品質管理を担当しています。品質基準によると、これらのチョコレートバーの平均重量は{mean}gとされています。最近、製造機械の校正が適切に行われているか疑問が持たれており、チョコレートバーの重量が規定値よりも少ない可能性が指摘されています。この疑問を検証するため、無作為に抽出された{size}個のチョコレートバーの重量を測定し、次のデータを得ました：{data}(g)。チョコレートバーの重量は正規分布にしたがうと想定されます。製品の平均重量が{mean}gを下回っているかどうかを有意水準{alpha}で検定してください。
050,"地域の小中学生の健康診断において、平均身長がこれまで{mean}cmだったと報告されています。しかしながら、最近の食生活の変化が子供たちの身長に影響を及ぼしている可能性が考えられており、今回新たに{size}人の小中学生を無作為抽出して身長を測定した結果、次のデータが得られました：{data}(cm)。身長のデータは正規分布していると仮定されます。有意水準{alpha}で今回の測定結果に基づいて、地域の小中学生の平均身長がこれまでの{mean}cmよりも減少しているかどうかを検定してください。
051,"新製品のバッテリー寿命は以前の製品と比べて短くなっているのではないかという疑問から、テストを行うことになりました。旧製品のバッテリー寿命の母平均は{mean}時間であるとされています。新製品からランダムに{size}個のバッテリーを選び、各バッテリーの寿命を測定したところ以下のデータが得られました：{data}時間。バッテリー寿命は正規分布するものと考えられます。この結果をもとに、新製品のバッテリー寿命が旧製品の平均を下回るという疑問を有意水準{alpha}で検定してください。
052,"ある食品加工会社が提供する缶詰の重量に関する品質管理のため、缶詰一つあたりの充填重量が50g（{mean}g）と設定されています。製造ラインの機械が高齢化したため、最新の{size}缶のサンプルを取り、それぞれの充填重量を計測し{data}gのデータを取得しました。この食品の充填重量が正常に機能しているかを確認するため、充填重量は正規分布するとして、得られたサンプルデータに基づく平均充填重量が50g（{mean}g）未満になっていないかどうかを有意水準{alpha}で検定してください。
053,"ある精密機器の製造プロセスにおいて、部品の寸法の平均値が{mean}mmでなければならないという規格があります。最近の生産ロットからランダムに選択された{size}個の部品の寸法を測定した結果、以下のデータが得られました：{data}(mm)。部品の寸法は正規分布に従っていると想定され、生産プロセスが規格から逸脱していないことを示すためには、平均寸法が実際に{mean}mm未満でないことを確認する必要があります。したがって、部品の平均寸法が{mean}mm以上であるという仮定のもと、寸法データを有意水準{alpha}で検定してください。
054,"新製品のパッケージの平均厚みが製品仕様の{mean}mmを確実に下回らないように品質管理を行っています。製造ラインから無作為に選ばれた{size}個の製品のパッケージ厚みを測定した結果、次のデータが得られました：{data}mm。パッケージの厚みは製造工程の管理下にあり、正規分布に従うと考えられます。規定の厚みよりも薄くなっていないかを、有意水準{alpha}で確かめるために検定を行ってください。
055,"あなたは工業製品の品質管理者です。ある部品の重量に関して、会社の基準では母平均の重量が{mean}gと定められています。新しい製造ロットからランダムに{size}個の部品を抽出し、重量を計測したところ、以下のデータが得られました：{data}(g)。部品の重量は正規分布にするものとしています。品質基準に照らし合わせると、部品の平均重量が基準値{mean}g未満でなければ、基準に満たないと判断されます。これらのデータをもとに、品質管理基準を満たしているかを有意水準{alpha}で検定してください。
056,"ある食品工場で新しい製法を導入したピーナッツバターの瓶詰め作業が行われています。品質管理の基準としては、それぞれの瓶の内容量の母平均値が{mean}gであることが求められています。新製法によって瓶の内容量が減少していないか評価する必要があり、品質管理部門が無作為に{size}瓶のピーナッツバターの瓶を抽出して内容量を計測し、次のデータを得ました：{data}(g)。瓶の内容量は正規分布に従うと仮定できます。このデータを使用して、ピーナッツバターの平均内容量が{mean}g以下になってしまったという仮説を有意水準{alpha}で検定してください。
057,"新製品の塗料のドライタイム（乾燥時間）に関する実験を行っています。過去の塗料の平均ドライタイムは{mean}時間とされており、新たな配合によりこの時間が短縮された可能性があります。品質管理のため、{size}回の塗料塗布試験を実施し、各試験のドライタイムを計測した結果は次の通りです：{data}時間。ドライタイムのデータは正規分布に従うと考えられています。この塗料が以前よりも早く乾燥するかどうかを、有意水準{alpha}で検定してください。
058,"ある食品会社の新商品の平均砂糖含有量が{mean}gと表示されていますが、消費者団体から、実際には表示よりも砂糖量が少ないのではないかという指摘がありました。これを確認するため、新商品の{size}個のサンプルを無作為に選び、それぞれの砂糖含有量を調べたところ、次のデータが得られました：{data}(g)。砂糖含有量は正規分布に従うと考えられています。このデータを基にして、新商品の平均砂糖含有量が表示値{mean}g以下であるかどうかを有意水準{alpha}で検定してください。
059,"ある工場で製造される部品の重量について、過去の品質管理データによると部品の重量の母平均は{mean}gであるとされています。しかし、最近の生産ラインの改善が重量減少に寄与している可能性が指摘されました。品質管理のためにランダムに選ばれた{size}個の部品の重量を測定した結果、以下のデータが得られました：{data}(g)。部品の重量は正規分布に従うと考えられており、改善によって重量の母平均が{mean}gよりも減少しているかどうかを有意水準{alpha}で検定してください。
060,"新しく採用された食品の保存方法が果物の平均熟成時間に影響を与えるかを調査します。過去の研究によると、特定のタイプの果物は平均して{mean}日で完熟するとされています。新しい保存方法を用いた場合の果物{size}個の熟成時間を測定したところ、次のデータが得られました：{data}日。熟成時間は正規分布に従っていると考えられます。有意水準{alpha}で、果物の平均熟成時間が{mean}日未満となっているかを検定してください。
061,"ある工場では、新しい加工技術が導入された後の製品の平均寸法が以前の標準値{mean}mmを維持しているかを確認する必要があります。加工技術の精度が下がってしまっていると、製品の寸法が標準値よりも小さくなってしまう可能性があります。新しい加工技術を使用して製造されたランダムに選んだ{size}個の製品の寸法を測定した結果、次のデータを得ました：{data}(mm)。製品の寸法は正規分布に従うと仮定されます。これらのデータを用いて、新しい加工技術による製品の平均寸法が標準値{mean}mmを下回っているかどうかを有意水準{alpha}で検定してください。
062,"ある生産ラインで製造される電子部品の寿命が{mean}時間以上であることが求められています。最近のプロセス改善の効果を確認するため、無作為に選ばれた{size}個の電子部品について寿命テストを行い、次の結果を得ました: {data}時間。電子部品の寿命は正規分布に従うと考えられています。これらのテスト結果を用いて、寿命が{mean}時間を下回ってしまったという仮定について、有意水準{alpha}での統計的検定を行ってください。
063,"栄養補助食品の摂取が血中の特定栄養素の平均濃度に影響を与えるかどうかを調べるために実験を行っています。過去の研究から、当該栄養素の血中平均濃度は{mean}mg/dLであることが分かっています。しかし最近、栄養補助食品の内容が変わったことにより、その濃度が実際には減少している可能性があると指摘されています。この仮説を検証するため、補助食品の摂取後に{size}人の被験者から血中濃度を測定し、以下のデータが得られました：{data}mg/dL。血中濃度は正規分布に従うと仮定できます。有意水準を{alpha}として、栄養補助食品の摂取後の血中特定栄養素の平均濃度が{mean}mg/dLを下回るかどうかを検定してください。
064,"新しいダイエットプログラムが提案され、そのプログラムによって平均体重が{mean}kgよりも減少するとされています。プログラムに参加した{size}人の参加者からランダムに抽出されたデータは次の通りです：{data}kg。体重の測定値は正規分布に従うことが知られています。ダイエットプログラムが効果的であるかを、有意水準{alpha}で検定してください。
065,"新しいバッテリーの稼働時間について調査するため、品質保証部門がテストを実施しました。過去の製品に対する調査結果から、バッテリーの平均稼働時間が{mean}時間であることがわかっています。今回、改良版バッテリーの性能評価の一環として、{size}個のバッテリーをランダムに選択して稼働時間を測定しました。測定結果は{data}時間でした。バッテリーの稼働時間は正規分布していると仮定されます。改良が功を奏していない場合、稼働時間が{mean}時間を下回る可能性があるため、この状況を有意水準{alpha}で検定してください。
066,"問題文の初案です．「あるダイエットプログラムの開始前に平均体重が{mean}kgであった成人グループにおいて、プログラム終了後の体重減少効果をテストするために{size}人の参加者の体重を測定しました。得られたデータは以下の通りです：{data}(kg)。体重の分布は正規分布に従っていると仮定します。ダイエットプログラムによる平均体重の減少が統計的に確認できるかどうかを、有意水準{alpha}で検定してください。」
067,"小さな農場で生産されるジャガイモの平均的な重さが{mean}kgだとされていますが、ある疫病の影響で今年の収穫はこれを下回るのではないかという懸念があります。最近収穫されたジャガイモ{size}個を無作為に選んで重さを量ったところ、以下の数値が得られました：{data}(kg)。ジャガイモの重さは正規分布に従うと仮定しています。得られたデータを用いて、ジャガイモの平均重さが{mean}kgよりも軽いかどうかを有意水準{alpha}で検定してください。
068,"ある製品の寿命について、メーカーが発表している平均寿命は{mean}年とされています。最近の製品の品質向上により、現在の製品がこの平均寿命より持続しないとのクレームが寄せられました。そこで、ランダムに選んだ{size}個の製品をテストしたところ、次の寿命データを得ました：{data}年。製品の寿命が正規分布に従うと仮定し、クレームが正しいかどうかを有意水準{alpha}で検定してください。
