No.,問題文
027,"消費者の食生活の変化により、特定のシリアルの1食あたりの平均摂取カロリーが以前と変わった可能性が指摘されています。過去のデータによると、このシリアルの1食あたりの平均摂取カロリーは{mean}キロカロリーでした。食生活の変化がカロリー摂取に影響を及ぼしているかを確認するため、ランダムに選ばれた消費者{size}人から得た1食分のシリアル摂取データは以下の通りです：{data}キロカロリー。シリアルのカロリー摂取量は正規分布すると考えられています。有意水準{alpha}でこのシリアルの平均摂取カロリーが{mean}キロカロリーから変わったかどうかを検定してください。
028,"ある食品添加物の日常的な摂取量について、以前の研究によると一日当たりの摂取量の平均値は{mean}mgと推定されています。しかし、最近の食生活の変化により、摂取量の平均が変化した疑いがあります。そこで、摂取量の現状を把握するために{size}例の食事内容から摂取量を調べ、以下のデータを得ました：{data}mg。この摂取量は正規分布に従うことがわかっています。食品添加物の平均摂取量が{mean}mgから有意な変動があったかどうか、有意水準{alpha}で検定を行なってください。
029,"母集団の体重に関する平均値が{mean}kgであるとされていますが、新たなダイエットプログラムの効果を評価するために{size}人の参加者を抽出し、プログラム終了後の体重を測定したところ以下のデータを得ました：{data}kg。体重のデータは正規分布に従うとされています。有意水準{alpha}でダイエットプログラムによる体重の変化が統計的に有意であるかどうかを検定してください。
030,"「ある製造業者が提供する電池の寿命は、製品の仕様により平均{mean}時間とされています。最近の製造ロットからランダムに選ばれた{size}個の電池をテストしたところ、次の寿命データが得られました：{data}時間。製品の寿命分布は正規分布に従うとされており、消費者からのクレームに対応するため、実際の平均寿命が仕様と異なるかどうかを確認する必要があります。このため、得られたサンプルデータを用いて、電池の平均寿命が{mean}時間から有意に変わっているかを有意水準{alpha}で検定してください。」
031,"「製菓会社では、新製品のクッキーの平均重量が{mean}gであると設定しています。しかし、品質管理のために行われたテストでは、この値から有意な偏りがないかを確認する必要があります。そのために、{size}個のクッキーから無作為に抽出したサンプルの重量を計測し、以下のデータを得ました：{data}(g)。クッキーの重量は正規分布に従うと考えられています。有意水準{alpha}で新製品のクッキーの平均重量が{mean}gから有意に異なるかどうかを検定してください。」
032,"実施されたある飲料の味の改良テストでは、顧客満足度の平均が{mean}という結果が得られていました。最近の改良により顧客満足度が変化したかどうかを確認するために、新たに{size}名の顧客を選んで満足度を調査し、次の結果を得ました：{data}。顧客満足度は正規分布すると考えられます。この飲料の最新の顧客満足度が以前の{mean}から統計的に有意な差異があるかを有意水準{alpha}で検定してください。
033,"ある製薬会社が開発した新しいコレステロール低下薬について、その効果が長年にわたって使用されている標準薬と有意に差があるかどうかを検証するために、ランダムに選ばれた{size}人の患者において臨床試験が行われました。標準薬での過去の臨床試験によると、患者のコレステロール値の平均は{mean}mg/dLとされています。新薬を投与した患者のコレステロール値の測定データは以下の通りです：{data}mg/dL。コレステロール値は正規分布すると考えられています。有意水準{alpha}で新しいコレステロール低下薬が標準薬と同等の効果を示しているか、より効果があるかもしくは効果が劣っているかを検定してください。
034,"ある製品の品質管理チェックにおいて、製品の寸法が工業規格で定められた母平均{mean}mmから有意に偏差していないかを確認しています。最近の品質検査ではランダムに抽出した{size}個の製品サンプルの寸法を計測し、以下の寸法データを得ました：{data}mm。製品の寸法は正規分布を仮定しています。これらのデータを用いて、製品の寸法が産業基準に即しているかを検証するため、有意水準{alpha}で平均寸法が工業規格値{mean}mmから変わったかどうかを検定します。
035,"「新しい接着剤の開発に際して、平均接着強度が技術基準の{mean}N/mm²を満たしているかどうかを検証することが必要です。接着剤の強度は正規分布に従うことが前提とされています。今回、無作為に選ばれた{size}個の接着剤サンプルの接着強度を測定したところ、次のデータが得られました：{data}N/mm²。この接着剤の平均接着強度が{mean}N/mm²から有意に異なるかどうかを、有意水準{alpha}で確認してください。」
036,"クラスの学生たちの学習習慣についての研究を行い、学習時間の母平均が{mean}時間であるという仮説が立てられています。新しい教育技術が導入された後、学生{size}人の学習時間を計測したところ、次のデータを得ました：{data}時間。得られたデータは正規分布をすると仮定できます。学習時間が以前と比べて変化したかどうかを有意水準{alpha}で調べるために、仮説検定を行ってください。
037,"あるメーカーの電池の平均寿命は{mean}時間と公表されています。品質管理のため、最新ロットからランダムに{size}個の電池を抽出し、寿命テストを行った結果、以下のデータを得ました：{data}時間。取得されたデータは正規分布に従うと考えられています。このロットの電池が公表された平均寿命と異なるかどうかを判断するため、有意水準{alpha}で統計的に検定してください。
038,"ある病院での成人の平均睡眠時間について、それが健康的な基準である{mean}時間から変わっていないかを検証します。最近、環境の変化が睡眠に影響を及ぼしているとの指摘があります。このため、病院の入院患者{size}名を対象にランダムに睡眠時間を記録し、以下のデータを得ました：{data}時間。睡眠時間は正規分布するとみなされています。有意水準{alpha}で患者の平均睡眠時間が{mean}時間と異なるかどうかを検定してください。
039,"以下のような問題文を作成いたします：新発売のエネルギードリンクのカフェイン含有量が製品ラベルに記載されている{mean}mgと異なっているかどうかをテストする必要が出てきました。この製品のカフェイン含有量は正規分布に従うと仮定されます。品質保証のために無作為に選ばれた{size}本のドリンクからカフェイン含有量を検査したところ、以下のデータを得ました：{data}(mg)。製品ラベルの記載値と実際の含有量に差があるという仮説を有意水準{alpha}で検定してください。
040,"ある飲料の糖分含有量に関する問題を検証するため、管理者は製造過程が規格内にあるかどうかを確認することになりました。製品の糖分含有量が規格値である{mean}gであるか、品質管理プロセスに問題がないかを検討するのが目的です。無作為にサンプリングされた{size}個の製品の糖分含有量は以下のようになっています：{data}(g)。有意水準{alpha}でこの飲料の糖分含有量が{mean}gと異なるかどうかを検定してください。ここで糖分含有量は正規分布すると仮定されます。また、規格値からの逸脱は製品品質に関連する重要な問題であるため、この検定を実施する必要があります。
041,"新商品のコーヒー豆の風味評価スコアについて、過去の類似商品の平均スコアは{mean}点でしたが、改良を加えたこの新商品が過去の商品と異なる評価を受けるかどうかを分析することになりました。改良されたコーヒー豆の風味評価は正規分布に従うと仮定されます。そこで、評価者{size}人による新商品の風味評価スコアを集めたところ、以下の結果が得られました：{data}点。このデータを用いて、風味評価スコアが{mean}点から有意に変化したかどうかを有意水準{alpha}で検定してください。
042,"新開発の丈夫な小麦の種品種が古い品種の平均収量である{mean}トン/ヘクタールと実際に同じかそれよりも良いかどうかを比較検証するために、無作為に選ばれた{size}ヘクタールの田んぼで試験栽培を行ないました。小麦の収量は正規分布すると仮定され、次のデータを得ました：{data}トン/ヘクタール。新品種の平均収量が古い品種のそれと異なるかを、有意水準{alpha}で統計的に検定してください。
043,"ある工場で製造されるボルトの平均長さは{mean}mmであると公表されています。最近、製造ラインの変更があり、製造されるボルトの長さに変動がないかどうかを検証する必要が生じました。検査担当者はランダムに選んだ{size}個のボルトを無作為に抽出し、その長さを測定したところ、以下のデータを得ました：{data}mm。測定されたボルトの長さは正規分布に従うと仮定されます。有意水準{alpha}で、工場で公表されている平均長さ{mean}mmが変わっていないかを検証してください。
044,"大学生の睡眠時間に関する研究で、以前から母平均睡眠時間は{mean}時間とされています。しかし、スマートフォンの普及やライフスタイルの変化により、実際の平均睡眠時間がこの値から変動しているかもしれないと懸念されています。そこで、{size}人の大学生を無作為に選んで睡眠時間を調査し、以下のデータを得ました：{data}時間。このサンプルデータは正規分布に従っていると仮定できます。有意水準{alpha}で、大学生の平均睡眠時間が{mean}時間から変わっているかどうかを検討してください。
045,"ある工場にて新型の機械による製造プロセスが導入された後、製品の品質が変化したかどうかを調べるための品質検査が行われます。以前のプロセスでの製品の平均硬度は{mean}Hvとされていました。新プロセスが導入された後の製品から無作為に{size}個のサンプルを取り、それぞれの硬度を測定した結果、以下のデータが得られました：{data}Hv。硬度の測定値は正規分布に従うと考えられています。測定結果をもとに、有意水準{alpha}で新しい製造プロセスによって製品の平均硬度が以前の値{mean}Hvから変化したかどうかを検定してください。
046,"心理学実験で、記憶力を向上させる新しい訓練方法の効果を検証しています。過去のデータから、被験者の記憶課題における平均正答率は{mean}%と報告されていました。新しい訓練方法を受けた{size}人の被験者が同様の記憶課題を実施し、以下の正答率を得ました：{data}%。正答率は正規分布に従うと仮定しています。被験者たちの平均正答率が{mean}%と異なるかどうかを有意水準{alpha}で検定してください。
047,"新たに開発された電池の平均寿命が{mean}時間であるとされていますが、実際の平均寿命が異なる可能性があるため、確かめることになりました。品質管理担当者はランダムに選んだ{size}個の電池を使用し、使用可能な時間を測定し以下のデータを得ました：{data}時間。電池の寿命は正規分布に従うと仮定します。有意水準{alpha}で平均寿命が{mean}時間と異なるかどうかを検定してください。
048,"ある小麦粉メーカーでは、従来の製品である小麦粉の平均的な水分含有率が{mean}%とされています。しかし、製造方法の変更に伴い、水分含有率に変動が生じたのではないかという懸念があります。品質管理のため、{size}袋の小麦粉から無作為に選ばれたサンプルについて、水分含有率を測定したところ以下のデータが得られました：{data}%。小麦粉の水分含有率は正規分布に従うと考えられており、そのため、水分含有率が{mean}%から変動したかどうかを確認する必要があります。有意水準{alpha}で小麦粉の水分含有率が従来の値から有意に変わったかどうかを検定してください。
049,"あなたが統計学の教師として大学で教鞭をとっていると仮定し、生徒に向けた1標本t検定の計算問題文の初案を以下に示します。「現在、ある飲料の一回あたりの平均摂取カロリーが{mean}kcalであるという産業基準が設けられています。しかし、最近の飲料の成分改善がカロリーに影響を及ぼしている可能性があります。そこで{size}本の飲料サンプルを無作為に選び、それぞれの摂取カロリーを測定した結果、次のデータを得ました：{data}kcal。摂取カロリーは正規分布に従うとされています。有意水準{alpha}で、この飲料の一回あたりの平均摂取カロリーが{mean}kcalから統計的に有意な変化があったかどうかを検定してください。」
050,"ある製菓工場では、チョコレートの平均重量が{mean}gであることが品質基準になっています。しかしながら、最近の生産ライン変更後の製品について、重さが基準から有意に変動しているのではないかとの疑問が持ち上がっています。この疑問に端を発し、工場は生産ライン変更後の{size}個のチョコレートから無作為に抽出し重量を計測し、次のデータを得ました：{data}(g)。チョコレートの重量は、正規分布に従っていると考えられます。提供されたデータを用いて、チョコレートの平均重量が{mean}gから有意に変化しているかどうか、有意水準{alpha}で検定してください。
051,"病院の治療法Aにおいて、過去のデータから母平均の回復期間は{mean}日とされています。しかし最新の治療技術や薬剤の改良が施された影響を考慮し、治療法Aの回復期間が変化しているのではないかとの仮説が立てられました。その検証のため、最近{size}人の患者に同治療法を施し、それぞれの回復期間を調査したところ以下のデータが得られました：{data}日。患者の回復期間は正規分布に従うと考えられます。有意水準{alpha}を用いて、治療法Aの平均回復期間が{mean}日から有意に変化しているか否かを検定してください。
052,"ある製菓工場では、新しいレシピによるチョコレートのカカオ含有率の平均が{mean}%であると想定されています。品質管理の一環として、製品のカカオ含有率に差がないかを検証する必要が生じました。カカオ含有率の分布が正規分布すると仮定し、無作為に選ばれた{size}個のチョコレートから、カカオ含有率を測定した結果、以下の数値を得ました：{data}%。これらの数値を使用して、カカオ含有率の平均が{mean}%から統計的に有意に変化しているかどうかを有意水準{alpha}で検定してください。
053,"ある食品工場では、缶詰ピーチの平均重量が{mean}gであることを品質の基準として公表しています。しかし、ある消費者団体から、実際の重量が公表された基準値とずれているというクレームが寄せられました。そこで、工場は品質保証のため、ランダムに選ばれた{size}缶のピーチを検査し、次のような重量データを収集しました：{data}g。製品の重量は正規分布すると考えられております。有意水準{alpha}で、公表された基準値{mean}gと実際の重量に統計的に有意な差異があるかどうかを検定してください。
054,"「ある製菓工場で生産されるクッキーの平均重量が{mean}gであるとされていますが、最近の製造ラインの調整によって、その重量に変化が生じたかもしれません。品質管理部門は、無作為に選ばれた{size}個のクッキーを選び、それぞれの重量を測定しました。測定結果は以下の通りです：{data}(g)。クッキーの重量は正規分布に従うと考えられています。平均重量がこれまでの{mean}gから有意に変わったかどうかを、有意水準{alpha}で検定してください。」
055,"新しいプログラミング講習を開始した大学で、受講生の事後テストの平均得点が従来のカリキュラムと異なるかどうかを評価するために検定を行います。従来のプログラミング講習の生徒の平均得点は{mean}点でした。新しいカリキュラムのもと、無作為に選ばれた{size}人の受講生を対象に事後テストを実施し、次の得点を得ました：{data}点。受講生の得点は正規分布に従うと仮定します。テストの得点が異なっているかどうかを、有意水準{alpha}で検定してください。
056,"最新の健康ドリンクの平均身長増加効果が、既存の研究で確認された{mean}cmであるかを検証することにしました。この健康ドリンクを服用した{size}人の被験者の身長増加データは次のとおりです：{data}cm。被験者たちの身長増加は正規分布に従っていると仮定されます。平均身長増加効果に差があるかどうかを有意水準{alpha}で検定してください。
057,"新しいタイプのノートPCのバッテリー寿命について、既知のモデルのバッテリー寿命が{mean}時間だとされています。品質保証のため、新しいモデルから無作為に抽出した{size}台のバッテリーについてテストを行い、次の持続時間を観測しました：{data}時間。バッテリー寿命は正規分布すると考えられています。新しいモデルの平均バッテリー寿命が既知のモデルと異なることを示すために、有意水準{alpha}で統計的な検定を行ってください。
058,"ある製菓会社は、新しいチョコレートバーの重量がパッケージに記載された{mean}グラムであることを主張しています。しかし、品質保証チームは最近の生産ロットが規格から逸脱しているのではないかと懸念しています。そこで、無作為に選んだ{size}個のチョコレートバーの重量を計測し、次のようなデータが得られました：{data}グラム。チョコレートバーの重量は正規分布に従うと仮定できるため、これらのデータを用いてパッケージに記載された重量{mean}グラムが正しいかどうかを、有意水準{alpha}で検定してください。製品重量のばらつきが規格を超えているかどうかを調べるために、この検定を実施する必要があります。
059,"ある工場で製造された電子機器の平均寿命は{mean}年とされていますが、最近の製造改善が寿命にどのような影響をもたらしたかを調査する必要があります。品質管理部門はランダムに{size}台の電子機器を選び、その寿命を測定し以下のデータを取得しました：{data}年。寿命データは正規分布すると仮定されています。このデータを使用して、工場の電子機器の平均寿命が{mean}年から有意に変化したかどうかを有意水準{alpha}で検定してください。
060,"ある工場で生産されるチョコレートの平均重量が{mean}gであり、品質管理上この数値を基準としています。最近の生産ラインの調整によって、平均重量に変化が生じていないかを確認する必要が出てきました。製品の重量は正規分布に従うと考えられています。そこで、無作為に抽出した{size}個のチョコレートの重量を測定し、次のようなデータが得られました：{data}(g)。平均重量が{mean}gから有意に変化したかどうかを有意水準{alpha}で検定してください。
061,"生物学の研究実験において、ある植物の葉の平均長さが{mean}cmであることが以前の研究で報告されています。ただし、この報告は数年前のものであり、環境条件の変化が葉の長さに影響を与えている可能性があります。したがって、葉の長さが以前の報告と変わっていないかを確かめる必要があります。最近行われた調査では{size}枚の葉をランダムに採取して測定したところ、次の長さのデータが得られました：{data}cm。葉の長さは正規分布に従うと考えられます。これらのデータを用いて、有意水準{alpha}で葉の平均長さが{mean}cmと変わっているかどうかを検定してください。
062,"統計学のクラスの学生の最終試験成績は例年、平均が{mean}点であることが知られています。しかし、今年使用した教材の変更により、学生の成績に影響があったかもしれません。そこで、無作為に選ばれた{size}人の学生の試験成績から、次のデータを得ました：{data}点。成績は正規分布すると仮定できます。有意水準{alpha}で、今年の学生の平均成績は例年と同じであると考えてよいか検定してください。
063,"ある製薬会社が開発した新しいコレステロール低下薬の効果を評価するための研究が行われました。このコレステロール低下薬の母平均値は、以前の臨床試験で{mean}mg/dLと報告されています。新たな臨床試験で、無作為に選ばれた{size}人の被験者に薬を投与し、それぞれのコレステロール値を測定した結果、以下のデータが得られました：{data}mg/dL。コレステロール値は正規分布に従うとされています。母平均の真の値が{mean}mg/dLと異なるかどうかを有意水準{alpha}で検定してください。
064,"大学生の睡眠時間は、健康で効果的な学習にとって非常に重要です。過去の調査によると、大学生の平均睡眠時間は{mean}時間とされています。しかし、学生ライフスタイルの変化により、この平均値が現在も保たれているか疑問があります。新たに{size}人の学生を無作為に選び、ある週の平均睡眠時間を記録したところ、次のデータが得られました：{data}時間。学生の睡眠時間は正規分布すると仮定できます。有意水準{alpha}で、大学生の平均睡眠時間が{mean}時間から有意に変化しているかどうかを検定してください。
065,"ある工場で生産される製品の重量について、品質管理の基準として設定された母平均は{mean}kgとされています。この基準が確実に保たれているかを確かめるため、ランダムに選ばれた{size}個の製品の重量を詳細に測定しました。測定結果は以下のデータとなりました：{data}(kg)。製品の重量が正規分布に従うと仮定して、得られたデータを用いて、製品の平均重量が基準値の{mean}kgから有意に異なるかどうかを、有意水準{alpha}で検証してください。
066,"飲食店で提供される特製カクテルのアルコール含有量が一貫しているかどうかを確認するための品質検査を行っています。製造仕様によると、このカクテルのアルコール含有量の平均は{mean}%とされています。品質管理のために無作為に選択された{size}杯のカクテルからアルコール含有量を検査し、以下の測定結果を得ました：{data}%。アルコール含有量は一定のプロセスを経て調整しており、正規分布していると仮定されます。品質基準として設定された{mean}%から変動があるのかを確認するために、有意水準{alpha}で検定を実施してください。
067,"あなたがコーヒーショップチェーンの品質管理担当者で、店舗のコーヒーカップの平均内容量は{mean}mlであるという会社の基準を維持しているか調査することになりました。品質基準を満たしているかどうかを確かめるため、無作為に選んだ{size}個のコーヒーカップの内容量を測定し、次のデータを得ました：{data}(ml)。コーヒーカップの内容量は正規分布に従うものとしています。与えられたデータを用いて、コーヒーカップの平均内容量が{mean}mlから有意に異なるかどうかを、有意水準{alpha}で検定してください。
068,"平均体温が{mean}℃とされる成人の体温が実際にこの値から変動しているのかを調べることになりました。医療健康診査において{size}人の成人から体温データを取得し、以下の結果を得ました：{data}(℃)。有意水準{alpha}で、取得された体温データが{mean}℃と異なるかどうかを調べます。この体温データは正規分布に従うとされています。
